mmu00010,Glycolysis / Gluconeogenesis
15277,Hk2
212032,Hk3
15275,Hk1
216019,Hkdc1
103988,Gck
14751,Gpi1
18641,Pfkl
18642,Pfkm
56421,Pfkp
14121,Fbp1
14120,Fbp2
11674,Aldoa
230163,Aldob
11676,Aldoc
353204,Aldoart1
21991,Tpi1
14433,Gapdh
14447,Gapdhs
18655,Pgk1
18663,Pgk2
18648,Pgam1
56012,Pgam2
13806,Eno1
13807,Eno2
13808,Eno3
433182,Eno1b
226265,Eno4
18746,Pkm
18770,Pklr
18597,Pdha1
18598,Pdha2
68263,Pdhb
235339,Dlat
13382,Dld
16828,Ldha
16832,Ldhb
16833,Ldhc
106557,Ldhal6b
11522,Adh1
11529,Adh7
26876,Adh4
11532,Adh5
58810,Akr1a1
11669,Aldh2
11671,Aldh3a2
72535,Aldh1b1
110695,Aldh7a1
56752,Aldh9a1
11670,Aldh3a1
56847,Aldh1a3
67689,Aldh3b1
621603,Aldh3b2
73458,Aldh3b3
68738,Acss1
60525,Acss2
319625,Galm
72157,Pgm1
66681,Pgm2
14377,G6pc
14378,G6pc2
68401,G6pc3
72141,Adpgk
12183,Bpgm
17330,Minpp1
18534,Pck1
74551,Pck2
mmu00020,Citrate cycle (TCA cycle)
12974,Cs
71832,Csl
104112,Acly
11429,Aco2
11428,Aco1
15926,Idh1
269951,Idh2
15929,Idh3g
67834,Idh3a
170718,Idh3b
243996,4933405O20Rik
18293,Ogdh
239017,Ogdhl
78920,Dlst
13382,Dld
56451,Suclg1
20917,Suclg2
20916,Sucla2
66945,Sdha
67680,Sdhb
66052,Sdhc
66925,Sdhd
14194,Fh1
17449,Mdh1
17448,Mdh2
18563,Pcx
18534,Pck1
74551,Pck2
18597,Pdha1
18598,Pdha2
68263,Pdhb
235339,Dlat
mmu00030,Pentose phosphate pathway
14751,Gpi1
14380,G6pd2
14381,G6pdx
66171,Pgls
100198,H6pd
110208,Pgd
66646,Rpe
21881,Tkt
83553,Tktl1
74419,Tktl2
21351,Taldo1
19895,Rpia
232449,Dera
71336,Rbks
72157,Pgm1
66681,Pgm2
19139,Prps1
110639,Prps2
328099,Prps1l3
75456,Prps1l1
19733,Rgn
75731,Idnk
235582,Glyctk
11674,Aldoa
230163,Aldob
11676,Aldoc
353204,Aldoart1
14121,Fbp1
14120,Fbp2
18641,Pfkl
18642,Pfkm
56421,Pfkp
mmu00040,Pentose and glucuronate interconversions
110006,Gusb
16591,Kl
22238,Ugt2b5
22236,Ugt1a2
94284,Ugt1a6a
94215,Ugt2a1
394434,Ugt1a9
394430,Ugt1a10
394432,Ugt1a7c
394433,Ugt1a5
72094,Ugt2a3
552899,Ugt2a2
71773,Ugt2b1
394435,Ugt1a6b
394436,Ugt1a1
100727,Ugt2b34
